"0 disables automatic rotation","0 disables automatic rotation"
"0 disables transition animation","0 disables transition animation"
"Slides","Slides"
"Banners","Banners"
"Statistics","Statistics"
"Readme","Readme"
"Get Support","Get Support"
"Rich Banner Slider by aheadWorks","Rich Banner Slider by aheadWorks"
"Name","Name"
"Status","Status"
"Where to Display","Where to Display"
"Layout Position","Layout Position"
"Product Page Conditions","Product Page Conditions"
"Categories","Categories"
"Slide Transition Speed, ms","Slide Transition Speed, ms"
"Pause Time Between Transitions, ms","Pause Time Between Transitions, ms"
"Stop Animation While Mouse is on the Banner","Stop Animation While Mouse is on the Banner"
"Display Arrows","Display Arrows"
"Display Navigation Bullets","Display Navigation Bullets"
"Display Images in Random Order","Display Images in Random Order"
"Slides","Slides"
"Enabled","Enabled"
"Disabled","Disabled"
"Home Page","Home Page"
"Product Pages","Product Pages"
"Catalog Pages","Catalog Pages"
"Menu Top","Menu Top"
"Menu Bottom","Menu Bottom"
"Content top","Content top"
"Page bottom","Page bottom"
"Yes","Yes"
"No","No"
"Yes, on mouse over only","Yes, on mouse over only"
"Yes, always","Yes, always"
"Behaviour","Behaviour"
"Slides","Slides"
"Position","Position"
"General Information","General Information"
"Are you sure you wan't to delete selected banners?","Are you sure you wan't to delete selected banners?"
"Delete blocks","Delete blocks"
"Delete","Delete"
"Save Banner","Save Banner"
"Create Banner","Create Banner"
"Please specify products where the block should be displayed. Leave blank to display the block on all product pages.","Please specify products where the block should be displayed. Leave blank to display the block on all product pages."
"Assign to Banner(s)","Assign to Banner(s)"
"StoreViews","StoreViews"
"Customer Groups","Customer Groups"
"Image Type","Image Type"
"File","File"
"URL","URL"
"Image File","Image File"
"Image to URL","Image to URL"
"Image Title","Image Title"
"Image Alt","Image Alt"
"Display From","Display From"
"Display To","Display To"
"Open URL in New Window","Open URL in New Window"
"Add 'No follow' to URL","Add 'No follow' to URL"
"Animation Effect","Animation Effect"
"Fade Out / In","Fade Out / In"
"Banner was successfully deleted","Banner was successfully deleted"
"Banner could not be deleted","Banner could not be deleted"
"Something went wrong while saving the banner","Something went wrong while saving the banner"
"Banner was successfully saved","Banner was successfully saved"
"Something went wrong while editing the banner","Something went wrong while editing the banner"
"Slide could not be deleted","Slide could not be deleted"
"Slide was successfully deleted","Slide was successfully deleted"
"Slide was successfully saved","Slide was successfully saved"
"Something went wrong while saving the slide","Something went wrong while saving the slide"
"A total of %1 record(s) were deleted","A total of %1 record(s) were deleted"
"Delete slides","Delete slides"
"Are you sure you wan't to delete selected slides?","Are you sure you wan't to delete selected slides?"
"A total of %1 record(s) have been updated","A total of %1 record(s) have been updated"
"Add to Banner","Add to Banner"
"Remove from Banner","Remove from Banner"
"Delete slides","Delete slides"
"Change status","Change status"
"Delete banners","Delete banners"
"Are you sure you wan't to delete selected banners?","Are you sure you wan't to delete selected banners?"
"Assigned to Banners","Assigned to Banners"
"Slide #%1","Slide #%1"
"No slides found","No slides found"
"Are you sure you wan't to reset statistic for selected elements?","Are you sure you wan't to reset statistic for selected elements?"
"Reset statistic","Reset statistic"
"CTR","CTR"
"Clicks","Clicks"
"Slider Loadings","Slider Loadings"
"Banner","Banner"
"ID","ID"
"Use same resolution images for best results","Use same resolution images for best results"
"Enable Slide","Enable Slide"
"Enable Banner","Enable Banner"
"Create New Slide","Create New Slide"
"Create New Banner","Create New Banner"
"Thumbnail","Thumbnail"
"Image","Image"
"URL Options","URL Options"
"Store View","Store View"
"Actions","Actions"
"Customer Group","Customer Group"
"Slide","Slide"
"Image Url","Image Url"
"Store view","Store view"
"Scale","Scale"
"Contents of a Rich Banner Slider","Contents of a Rich Banner Slider"
"Select Banner","Select Banner"
"Custom Widget","Custom Widget"
"Display To cannot be equal or earlier than Display From.","Display To cannot be equal or earlier than Display From."
